tag,name,nameColor,icon,trophies,rank,club,country_code
#VLJ902YC,NR | SNOW,0xfff9c908,{'id': 28000610},84343,1,{'name': 'Assemble'},DZ
#RJG2QY89,𝕭𝖑𝖆𝖓𝖈𝖔迅雷,0xffffffff,{'id': 28000345},82174,2,{'name': 'BS ACADEMY'},DZ
#9CL9YVJ89,T4B_RONALDO,0xfff9c908,{'id': 28000129},80972,3,{'name': 'French United'},DZ
#2QVYVP8U8,🔥BスRへOイDルY🔥,0xfff05637,{'id': 28000539},80837,4,,DZ
#2RRP20PCC,hamza zabat,0xffa8e132,{'id': 28000402},77537,5,{'name': 'Royal Gaming'},DZ
#J0JLVYVP,ᴼᴶNel칼,0xffffffff,{'id': 28000616},77180,6,{'name': 'Suki & Nemo'},DZ
#2QV828YPC,あ|CROW❦,0xffffffff,{'id': 28000207},76153,7,{'name': 'TWISK'},DZ
#U98V8LUR,chadow ★★,0xffcb5aff,{'id': 28000574},76006,8,{'name': 'TWISK'},DZ
#9R9LPR228,Saber!,0xffff9727,{'id': 28000610},75837,9,{'name': 'TWISK'},DZ
#R2928GY,Yann Curser 👾,0xffffffff,{'id': 28000139},75782,10,{'name': 'Vlagueri Rosa👾'},DZ
#8829PCLQL,LW|Shanks 🌑,0xffffffff,{'id': 28000129},75676,11,{'name': 'TWISK'},DZ
#QQG2J8C92,Kratos 戦争,0xfff9c908,{'id': 28000567},75585,12,{'name': 'TWISK'},DZ
#89RVLRJQC,ASTA 🍀👹,0xffffffff,{'id': 28000019},74987,13,{'name': '☣️Dz Legend☣️'},DZ
#8UP29U2V,DaddyMasaruマ,0xff1ba5f5,{'id': 28000574},74940,14,{'name': '❄️Dz Warriors❄️'},DZ
#GURC20V9,AMIN KING,0xffffffff,{'id': 28000616},74777,15,{'name': 'Alone >.<'},DZ
#9U2CRJRR8,虎 | 𝓐𝓶𝓲𝓷𝓮シ,0xffffffff,{'id': 28000494},74146,16,{'name': '⛩sombre 桜'},DZ
#2Q88G99YV,AC | ARCHOS,0xff1ba5f5,{'id': 28000574},74132,17,{'name': 'BS ACADEMY'},DZ
#C98L0C9C,WA ÎL . DZ,0xffffffff,{'id': 28000576},73847,18,{'name': 'easy win 😎'},DZ
